alpha,cl,cd,cm,re,mach,n_crit,xtrip1,xtrip2
-10.0,-0.6136587993784526,0.11458703480534682,0.008613529149119252,20000.0,0.1,7.0,1.0,1.0
-9.5,-0.627404676017187,0.1046472594262149,0.004912103570578411,20000.0,0.1,7.0,1.0,1.0
-9.0,-0.6543167800012123,0.09342821187291767,4.8334671145947684e-5,20000.0,0.1,7.0,1.0,1.0
-8.5,-0.6692511706484108,0.08364142819627225,-0.0018363257110839163,20000.0,0.1,7.0,1.0,1.0
-8.0,-0.6909686859958382,0.07364150028854007,-0.0031469553614640643,20000.0,0.1,7.0,1.0,1.0
-7.5,-0.6928468595231229,0.06561902094806761,-0.002010892783764222,20000.0,0.1,7.0,1.0,1.0
-7.0,-0.6799590888815245,0.05929404874831133,0.0008077560348223653,20000.0,0.1,7.0,1.0,1.0
-6.5,-0.6560642286570648,0.05449647770781172,0.005073822091535408,20000.0,0.1,7.0,1.0,1.0
-6.0,-0.6217780379762265,0.0512036501810751,0.010758589988716441,20000.0,0.1,7.0,1.0,1.0
-5.5,-0.5769336375645708,0.0491352458423618,0.01719861566662696,20000.0,0.1,7.0,1.0,1.0
-5.0,-0.515514389625514,0.04796438452984055,0.022605301530962574,20000.0,0.1,7.0,1.0,1.0
-4.5,-0.41207253884980694,0.046867580864924464,0.0209201551118756,20000.0,0.1,7.0,1.0,1.0
-4.0,-0.29601101981885924,0.04406366199157453,0.010955149361410208,20000.0,0.1,7.0,1.0,1.0
-3.5,-0.16109739299004522,0.03980663839062927,-0.007190782735033334,20000.0,0.1,7.0,1.0,1.0
-3.0,-0.06843048064230318,0.03568284860397126,-0.02101361243675251,20000.0,0.1,7.0,1.0,1.0
-2.5,-0.04990505520366291,0.03369873565087683,-0.020347219345879967,20000.0,0.1,7.0,1.0,1.0
-2.0,-0.03287164095378149,0.032125363618608016,-0.018632617030217093,20000.0,0.1,7.0,1.0,1.0
-1.5,-0.018754328502794595,0.030938668333922396,-0.01569355053351112,20000.0,0.1,7.0,1.0,1.0
-1.0,-0.009039247113163463,0.030113160482819055,-0.011406887013623534,20000.0,0.1,7.0,1.0,1.0
-0.5,-0.003291988198225445,0.029623660807304115,-0.006029647598601511,20000.0,0.1,7.0,1.0,1.0
0.0,-2.2326085850555515e-7,0.029459745184320322,-5.091112380209739e-7,20000.0,0.1,7.0,1.0,1.0
0.5,0.003294568651295523,0.029622378196427396,0.006028380878023163,20000.0,0.1,7.0,1.0,1.0
1.0,0.009051023947276587,0.03011042694089754,0.011404874809167099,20000.0,0.1,7.0,1.0,1.0
1.5,0.01878516550433489,0.030934162478318674,0.015689674115229795,20000.0,0.1,7.0,1.0,1.0
2.0,0.03293293236876649,0.03211862044275742,0.0186254345641188,20000.0,0.1,7.0,1.0,1.0
2.5,0.05000793141105464,0.0336891866233925,0.020335200533999186,20000.0,0.1,7.0,1.0,1.0
3.0,0.06858548476970179,0.035669852554121244,0.020995040126051266,20000.0,0.1,7.0,1.0,1.0
3.5,0.1611085865609653,0.03978801990277743,0.007196941293116807,20000.0,0.1,7.0,1.0,1.0
4.0,0.29611720093366345,0.04404959776013911,-0.01096927728320419,20000.0,0.1,7.0,1.0,1.0
4.5,0.41231536811531455,0.046854930300755444,-0.020951418991830697,20000.0,0.1,7.0,1.0,1.0
5.0,0.5156182475544404,0.04795477055452105,-0.02261676726423583,20000.0,0.1,7.0,1.0,1.0
5.5,0.5770063060594435,0.04912759385187024,-0.01720610526833484,20000.0,0.1,7.0,1.0,1.0
6.0,0.6218521709190642,0.05119676182431699,-0.010765734317341178,20000.0,0.1,7.0,1.0,1.0
6.5,0.6561615219466369,0.0544893210615637,-0.005082302418405563,20000.0,0.1,7.0,1.0,1.0
7.0,0.6800708699640408,0.05928864882398062,-0.0008214586957615384,20000.0,0.1,7.0,1.0,1.0
7.5,0.6929650548919596,0.06561808220360471,0.0019869689677582624,20000.0,0.1,7.0,1.0,1.0
8.0,0.6911149861998355,0.07364628527328886,0.0031064804503514484,20000.0,0.1,7.0,1.0,1.0
8.5,0.6695000615375852,0.08365142911736059,0.0017702841460437654,20000.0,0.1,7.0,1.0,1.0
9.0,0.635236752525658,0.09511296815551297,-0.0024775429369559595,20000.0,0.1,7.0,1.0,1.0
9.5,0.6279239354056769,0.1046655509514063,-0.005034145852450073,20000.0,0.1,7.0,1.0,1.0
10.0,0.6143738549495423,0.11460474972587337,-0.008752041151624503,20000.0,0.1,7.0,1.0,1.0
10.5,0.6092421231018341,0.12409911135400309,-0.012085848814513314,20000.0,0.1,7.0,1.0,1.0
11.0,0.6011096881613414,0.13372271892193402,-0.016366969066694433,20000.0,0.1,7.0,1.0,1.0
11.5,0.5929791584163893,0.14356075330645163,-0.023571365400365887,20000.0,0.1,7.0,1.0,1.0
12.0,0.5848514070436007,0.1535639284563045,-0.03242211148985397,20000.0,0.1,7.0,1.0,1.0
12.5,0.576727211769961,0.16336230715298708,-0.03775208898557912,20000.0,0.1,7.0,1.0,1.0
13.0,0.5847307432962079,0.16949503083558853,-0.03868709253513997,20000.0,0.1,7.0,1.0,1.0
13.5,0.6076769065380724,0.17849728192250797,-0.04011390389859483,20000.0,0.1,7.0,1.0,1.0
14.0,0.6129786166771268,0.1833809132265485,-0.041175988541607214,20000.0,0.1,7.0,1.0,1.0
14.5,0.6370718142185774,0.1928522670827618,-0.04279937817396894,20000.0,0.1,7.0,1.0,1.0
15.0,0.6432183812509443,0.19730265633129673,-0.044285294398217996,20000.0,0.1,7.0,1.0,1.0
