alpha,cl,cd,cm,re,mach,n_crit,xtrip1,xtrip2
-180.0,0.0,0.001,0.0,100000.0,0.0,5.0,1.0,1.0
-178.92857142857144,0.06515799433143661,0.001,0.05910002901390605,100000.0,0.0,5.0,1.0,1.0
-177.85714285714286,0.13031598866287475,0.001,0.11547196981492285,100000.0,0.0,5.0,1.0,1.0
-176.78571428571428,0.19547398299431135,0.001,0.16863710239474905,100000.0,0.0,5.0,1.0,1.0
-175.71428571428572,0.26063197732574794,0.001,0.21811670674508374,100000.0,0.0,5.0,1.0,1.0
-174.64285714285714,0.3257899716571861,0.001,0.26343206285762977,100000.0,0.0,5.0,1.0,1.0
-173.57142857142858,0.3909479659886227,0.001,0.3041044507240852,100000.0,0.0,5.0,1.0,1.0
-172.5,0.45610596032005923,0.005138091906182855,0.3396551503361524,100000.0,0.0,5.0,1.0,1.0
-171.42857142857142,0.5212639546514976,0.012956689992636047,0.36960544168553056,100000.0,0.0,5.0,1.0,1.0
-170.35714285714286,0.5864219489829341,0.02178475005364737,0.3934766047639194,100000.0,0.0,5.0,1.0,1.0
-169.28571428571428,0.6515799433143722,0.03160998918378354,0.41189287643070477,100000.0,0.0,5.0,1.0,1.0
-168.2142857142857,0.7167379376458088,0.04241873727919255,0.4281194571775519,100000.0,0.0,5.0,1.0,1.0
-167.14285714285714,0.7818959319772454,0.054195956131520895,0.4422911048546651,100000.0,0.0,5.0,1.0,1.0
-166.07142857142856,0.8470539263086835,0.06692526043265143,0.4542732105225284,100000.0,0.0,5.0,1.0,1.0
-165.0,0.9122119206401202,0.08058894066089613,0.4639311652416242,100000.0,0.0,5.0,1.0,1.0
-159.64285714285714,0.7978512224201727,0.16221372028263314,0.4726878378250127,100000.0,0.0,5.0,1.0,1.0
-154.28571428571428,0.7476523188378242,0.26382834755142215,0.4310354227446793,100000.0,0.0,5.0,1.0,1.0
-148.92857142857142,0.7203552027068488,0.3819095014890428,0.4077098671960091,100000.0,0.0,5.0,1.0,1.0
-143.57142857142856,0.6981619950532804,0.5123639573916852,0.405728313629095,100000.0,0.0,5.0,1.0,1.0
-138.21428571428572,0.6720789706684483,0.6506710965778362,0.4133670767772388,100000.0,0.0,5.0,1.0,1.0
-132.85714285714286,0.6372772368469717,0.7920402829290881,0.4246749878497131,100000.0,0.0,5.0,1.0,1.0
-127.50000000000001,0.5913003998900928,0.9315776211001204,0.43762101978115414,100000.0,0.0,5.0,1.0,1.0
-122.14285714285714,0.5332595046991908,1.0644562844516232,0.4514263097843965,100000.0,0.0,5.0,1.0,1.0
-116.78571428571428,0.4634166034301112,1.1860844765616942,0.4638193680442731,100000.0,0.0,5.0,1.0,1.0
-111.42857142857143,0.38293325193720423,1.2922651729254335,0.4735585031901152,100000.0,0.0,5.0,1.0,1.0
-106.07142857142857,0.2936911527701117,1.3793420762714612,0.4802832090901612,100000.0,0.0,5.0,1.0,1.0
-100.71428571428572,0.19814391109241158,1.4443266998055235,0.4820699638547478,100000.0,0.0,5.0,1.0,1.0
-95.35714285714285,0.09918151704805316,1.485002150866605,0.47966082486855194,100000.0,0.0,5.0,1.0,1.0
-90.0,6.429395695523604e-17,1.5,0.4713378326236058,100000.0,0.0,5.0,1.0,1.0
-84.64285714285715,-0.09918151704805316,1.485002150866605,0.4575236705719865,100000.0,0.0,5.0,1.0,1.0
-79.28571428571428,-0.19814391109241158,1.4443266998055235,0.43843314164428315,100000.0,0.0,5.0,1.0,1.0
-73.92857142857143,-0.2936911527701117,1.3793420762714612,0.41605773040068234,100000.0,0.0,5.0,1.0,1.0
-68.57142857142857,-0.38293325193720423,1.2922651729254335,0.3901721324082527,100000.0,0.0,5.0,1.0,1.0
-63.21428571428571,-0.46341660343011143,1.1860844765616938,0.3624943395468868,100000.0,0.0,5.0,1.0,1.0
-57.857142857142854,-0.5332595046991908,1.0644562844516232,0.33368237940889484,100000.0,0.0,5.0,1.0,1.0
-52.5,-0.5913003998900928,0.9315776211001207,0.3042724910917119,100000.0,0.0,5.0,1.0,1.0
-47.142857142857146,-0.6372772368469717,0.7920402829290881,0.27555244666644463,100000.0,0.0,5.0,1.0,1.0
-41.785714285714285,-0.6720789706684483,0.6506710965778362,0.24741735150033015,100000.0,0.0,5.0,1.0,1.0
-36.42857142857142,-0.6981619950532804,0.5123639573916848,0.21973859956867972,100000.0,0.0,5.0,1.0,1.0
-31.071428571428573,-0.7203552027068488,0.3819095014890426,0.19287285724471398,100000.0,0.0,5.0,1.0,1.0
-25.714285714285715,-0.7476523188378242,0.26382834755142215,0.16265381528848238,100000.0,0.0,5.0,1.0,1.0
-20.357142857142854,-0.7978512224201728,0.16221372028263287,0.1253847771832848,100000.0,0.0,5.0,1.0,1.0
-14.999999999999998,-0.9122119206401196,0.08058894066089599,0.0392259384846404,100000.0,0.0,5.0,1.0,1.0
-14.64285714285714,-0.8727259955015878,0.08183747115122873,0.03153543005232039,100000.0,0.0,5.0,1.0,1.0
-14.285714285714285,-0.8332400703630564,0.08308600164156148,0.02387417381724554,100000.0,0.0,5.0,1.0,1.0
-13.928571428571429,-0.7937541452245247,0.08433453213189422,0.016290787642925242,100000.0,0.0,5.0,1.0,1.0
-13.571428571428571,-0.754268220085993,0.08558306262222695,0.008833889392868818,100000.0,0.0,5.0,1.0,1.0
-13.214285714285714,-0.7147822949474614,0.0868315931125597,0.0015520969305857016,100000.0,0.0,5.0,1.0,1.0
-12.857142857142858,-0.6752963698089298,0.08808012360289244,-0.005505971880414656,100000.0,0.0,5.0,1.0,1.0
